target,positive_subset,candidate_set,P,U,evaluated,reason
TP53,exclude_prior_train_development_P,low_plausibility,3,150,True,
TP53,exclude_prior_train_development_P,context_background,3,300,True,
TP53,exclude_prior_train_development_P,all_U,3,450,True,
TP53,exclude_prior_train_development_P_and_homomers,context,3,150,True,
TP53,exclude_prior_train_development_P_and_homomers,background,3,150,True,
TP53,exclude_prior_train_development_P_and_homomers,low_plausibility,3,150,True,
TP53,exclude_prior_train_development_P_and_homomers,context_background,3,300,True,
TP53,exclude_prior_train_development_P_and_homomers,all_U,3,450,True,
TP53,exclude_any_model_prior_pairs,context,3,150,True,
TP53,exclude_any_model_prior_pairs,background,3,150,True,
TP53,exclude_any_model_prior_pairs,low_plausibility,3,150,True,
TP53,exclude_any_model_prior_pairs,context_background,3,300,True,
TP53,exclude_any_model_prior_pairs,all_U,3,450,True,
TP53,exclude_any_model_prior_pairs_and_homomers,context,3,150,True,
TP53,exclude_any_model_prior_pairs_and_homomers,background,3,150,True,
TP53,exclude_any_model_prior_pairs_and_homomers,low_plausibility,3,150,True,
TP53,exclude_any_model_prior_pairs_and_homomers,context_background,3,300,True,
TP53,exclude_any_model_prior_pairs_and_homomers,all_U,3,450,True,
EGFR,all_P,context,3,150,True,
EGFR,all_P,background,3,150,True,
EGFR,all_P,low_plausibility,3,150,True,
EGFR,all_P,context_background,3,300,True,
EGFR,all_P,all_U,3,450,True,
EGFR,exclude_development_P,context,3,150,True,
EGFR,exclude_development_P,background,3,150,True,
EGFR,exclude_development_P,low_plausibility,3,150,True,
EGFR,exclude_development_P,context_background,3,300,True,
EGFR,exclude_development_P,all_U,3,450,True,
EGFR,exclude_development_P_and_homomers,context,3,150,True,
EGFR,exclude_development_P_and_homomers,background,3,150,True,
EGFR,exclude_development_P_and_homomers,low_plausibility,3,150,True,
EGFR,exclude_development_P_and_homomers,context_background,3,300,True,
EGFR,exclude_development_P_and_homomers,all_U,3,450,True,
EGFR,exclude_prior_train_development_P,context,3,150,True,
EGFR,exclude_prior_train_development_P,background,3,150,True,
EGFR,exclude_prior_train_development_P,low_plausibility,3,150,True,
EGFR,exclude_prior_train_development_P,context_background,3,300,True,
EGFR,exclude_prior_train_development_P,all_U,3,450,True,
EGFR,exclude_prior_train_development_P_and_homomers,context,3,150,True,
EGFR,exclude_prior_train_development_P_and_homomers,background,3,150,True,
EGFR,exclude_prior_train_development_P_and_homomers,low_plausibility,3,150,True,
EGFR,exclude_prior_train_development_P_and_homomers,context_background,3,300,True,
EGFR,exclude_prior_train_development_P_and_homomers,all_U,3,450,True,
EGFR,exclude_any_model_prior_pairs,context,3,150,True,
EGFR,exclude_any_model_prior_pairs,background,3,150,True,
EGFR,exclude_any_model_prior_pairs,low_plausibility,3,150,True,
EGFR,exclude_any_model_prior_pairs,context_background,3,300,True,
EGFR,exclude_any_model_prior_pairs,all_U,3,450,True,
EGFR,exclude_any_model_prior_pairs_and_homomers,context,3,150,True,
EGFR,exclude_any_model_prior_pairs_and_homomers,background,3,150,True,
EGFR,exclude_any_model_prior_pairs_and_homomers,low_plausibility,3,150,True,
EGFR,exclude_any_model_prior_pairs_and_homomers,context_background,3,300,True,
EGFR,exclude_any_model_prior_pairs_and_homomers,all_U,3,450,True,
BCL2,all_P,context,3,150,True,
BCL2,all_P,background,3,150,True,
BCL2,all_P,low_plausibility,3,150,True,
BCL2,all_P,context_background,3,300,True,
BCL2,all_P,all_U,3,450,True,
BCL2,exclude_development_P,context,3,150,True,
BCL2,exclude_development_P,background,3,150,True,
BCL2,exclude_development_P,low_plausibility,3,150,True,
BCL2,exclude_development_P,context_background,3,300,True,
BCL2,exclude_development_P,all_U,3,450,True,
BCL2,exclude_development_P_and_homomers,context,3,150,True,
BCL2,exclude_development_P_and_homomers,background,3,150,True,
BCL2,exclude_development_P_and_homomers,low_plausibility,3,150,True,
BCL2,exclude_development_P_and_homomers,context_background,3,300,True,
BCL2,exclude_development_P_and_homomers,all_U,3,450,True,
BCL2,exclude_prior_train_development_P,context,3,150,True,
BCL2,exclude_prior_train_development_P,background,3,150,True,
BCL2,exclude_prior_train_development_P,low_plausibility,3,150,True,
BCL2,exclude_prior_train_development_P,context_background,3,300,True,
BCL2,exclude_prior_train_development_P,all_U,3,450,True,
BCL2,exclude_prior_train_development_P_and_homomers,context,3,150,True,
BCL2,exclude_prior_train_development_P_and_homomers,background,3,150,True,
BCL2,exclude_prior_train_development_P_and_homomers,low_plausibility,3,150,True,
BCL2,exclude_prior_train_development_P_and_homomers,context_background,3,300,True,
BCL2,exclude_prior_train_development_P_and_homomers,all_U,3,450,True,
BCL2,exclude_any_model_prior_pairs,context,0,149,False,No nominated P remains after exposure exclusions; metrics undefined.
BCL2,exclude_any_model_prior_pairs,background,0,149,False,No nominated P remains after exposure exclusions; metrics undefined.
BCL2,exclude_any_model_prior_pairs,low_plausibility,0,150,False,No nominated P remains after exposure exclusions; metrics undefined.
BCL2,exclude_any_model_prior_pairs,context_background,0,298,False,No nominated P remains after exposure exclusions; metrics undefined.
BCL2,exclude_any_model_prior_pairs,all_U,0,448,False,No nominated P remains after exposure exclusions; metrics undefined.
BCL2,exclude_any_model_prior_pairs_and_homomers,context,0,149,False,No nominated P remains after exposure exclusions; metrics undefined.
BCL2,exclude_any_model_prior_pairs_and_homomers,background,0,149,False,No nominated P remains after exposure exclusions; metrics undefined.
BCL2,exclude_any_model_prior_pairs_and_homomers,low_plausibility,0,150,False,No nominated P remains after exposure exclusions; metrics undefined.
BCL2,exclude_any_model_prior_pairs_and_homomers,context_background,0,298,False,No nominated P remains after exposure exclusions; metrics undefined.
BCL2,exclude_any_model_prior_pairs_and_homomers,all_U,0,448,False,No nominated P remains after exposure exclusions; metrics undefined.
KEAP1,all_P,context,3,150,True,
KEAP1,all_P,background,3,150,True,
KEAP1,all_P,low_plausibility,3,150,True,
KEAP1,all_P,context_background,3,300,True,
KEAP1,all_P,all_U,3,450,True,
KEAP1,exclude_development_P,context,2,150,True,
KEAP1,exclude_development_P,background,2,150,True,
KEAP1,exclude_development_P,low_plausibility,2,150,True,
KEAP1,exclude_development_P,context_background,2,300,True,
KEAP1,exclude_development_P,all_U,2,450,True,
KEAP1,exclude_development_P_and_homomers,context,2,150,True,
KEAP1,exclude_development_P_and_homomers,background,2,150,True,
KEAP1,exclude_development_P_and_homomers,low_plausibility,2,150,True,
KEAP1,exclude_development_P_and_homomers,context_background,2,300,True,
KEAP1,exclude_development_P_and_homomers,all_U,2,450,True,
KEAP1,exclude_prior_train_development_P,context,2,150,True,
KEAP1,exclude_prior_train_development_P,background,2,150,True,
KEAP1,exclude_prior_train_development_P,low_plausibility,2,150,True,
KEAP1,exclude_prior_train_development_P,context_background,2,300,True,
KEAP1,exclude_prior_train_development_P,all_U,2,450,True,
KEAP1,exclude_prior_train_development_P_and_homomers,context,2,150,True,
KEAP1,exclude_prior_train_development_P_and_homomers,background,2,150,True,
KEAP1,exclude_prior_train_development_P_and_homomers,low_plausibility,2,150,True,
KEAP1,exclude_prior_train_development_P_and_homomers,context_background,2,300,True,
KEAP1,exclude_prior_train_development_P_and_homomers,all_U,2,450,True,
KEAP1,exclude_any_model_prior_pairs,context,2,150,True,
KEAP1,exclude_any_model_prior_pairs,background,2,150,True,
KEAP1,exclude_any_model_prior_pairs,low_plausibility,2,150,True,
KEAP1,exclude_any_model_prior_pairs,context_background,2,300,True,
KEAP1,exclude_any_model_prior_pairs,all_U,2,450,True,
KEAP1,exclude_any_model_prior_pairs_and_homomers,context,2,150,True,
KEAP1,exclude_any_model_prior_pairs_and_homomers,background,2,150,True,
KEAP1,exclude_any_model_prior_pairs_and_homomers,low_plausibility,2,150,True,
KEAP1,exclude_any_model_prior_pairs_and_homomers,context_background,2,300,True,
KEAP1,exclude_any_model_prior_pairs_and_homomers,all_U,2,450,True,
BRCA1,all_P,context,3,150,True,
BRCA1,all_P,background,3,150,True,
BRCA1,all_P,low_plausibility,3,150,True,
BRCA1,all_P,context_background,3,300,True,
BRCA1,all_P,all_U,3,450,True,
BRCA1,exclude_development_P,context,3,150,True,
BRCA1,exclude_development_P,background,3,150,True,
BRCA1,exclude_development_P,low_plausibility,3,150,True,
BRCA1,exclude_development_P,context_background,3,300,True,
BRCA1,exclude_development_P,all_U,3,450,True,
BRCA1,exclude_development_P_and_homomers,context,3,150,True,
BRCA1,exclude_development_P_and_homomers,background,3,150,True,
BRCA1,exclude_development_P_and_homomers,low_plausibility,3,150,True,
BRCA1,exclude_development_P_and_homomers,context_background,3,300,True,
BRCA1,exclude_development_P_and_homomers,all_U,3,450,True,
BRCA1,exclude_prior_train_development_P,context,3,150,True,
BRCA1,exclude_prior_train_development_P,background,3,150,True,
BRCA1,exclude_prior_train_development_P,low_plausibility,3,150,True,
BRCA1,exclude_prior_train_development_P,context_background,3,300,True,
BRCA1,exclude_prior_train_development_P,all_U,3,450,True,
BRCA1,exclude_prior_train_development_P_and_homomers,context,3,150,True,
BRCA1,exclude_prior_train_development_P_and_homomers,background,3,150,True,
BRCA1,exclude_prior_train_development_P_and_homomers,low_plausibility,3,150,True,
BRCA1,exclude_prior_train_development_P_and_homomers,context_background,3,300,True,
BRCA1,exclude_prior_train_development_P_and_homomers,all_U,3,450,True,
BRCA1,exclude_any_model_prior_pairs,context,3,150,True,
BRCA1,exclude_any_model_prior_pairs,background,3,150,True,
BRCA1,exclude_any_model_prior_pairs,low_plausibility,3,150,True,
BRCA1,exclude_any_model_prior_pairs,context_background,3,300,True,
BRCA1,exclude_any_model_prior_pairs,all_U,3,450,True,
BRCA1,exclude_any_model_prior_pairs_and_homomers,context,3,150,True,
BRCA1,exclude_any_model_prior_pairs_and_homomers,background,3,150,True,
BRCA1,exclude_any_model_prior_pairs_and_homomers,low_plausibility,3,150,True,
BRCA1,exclude_any_model_prior_pairs_and_homomers,context_background,3,300,True,
BRCA1,exclude_any_model_prior_pairs_and_homomers,all_U,3,450,True,
KRAS,all_P,context,3,150,True,
KRAS,all_P,background,3,150,True,
KRAS,all_P,low_plausibility,3,150,True,
KRAS,all_P,context_background,3,300,True,
KRAS,all_P,all_U,3,450,True,
KRAS,exclude_development_P,context,3,150,True,
KRAS,exclude_development_P,background,3,150,True,
KRAS,exclude_development_P,low_plausibility,3,150,True,
KRAS,exclude_development_P,context_background,3,300,True,
KRAS,exclude_development_P,all_U,3,450,True,
KRAS,exclude_development_P_and_homomers,context,3,150,True,
KRAS,exclude_development_P_and_homomers,background,3,150,True,
KRAS,exclude_development_P_and_homomers,low_plausibility,3,150,True,
KRAS,exclude_development_P_and_homomers,context_background,3,300,True,
KRAS,exclude_development_P_and_homomers,all_U,3,450,True,
KRAS,exclude_prior_train_development_P,context,3,150,True,
KRAS,exclude_prior_train_development_P,background,3,150,True,
KRAS,exclude_prior_train_development_P,low_plausibility,3,150,True,
KRAS,exclude_prior_train_development_P,context_background,3,300,True,
KRAS,exclude_prior_train_development_P,all_U,3,450,True,
KRAS,exclude_prior_train_development_P_and_homomers,context,3,150,True,
KRAS,exclude_prior_train_development_P_and_homomers,background,3,150,True,
KRAS,exclude_prior_train_development_P_and_homomers,low_plausibility,3,150,True,
KRAS,exclude_prior_train_development_P_and_homomers,context_background,3,300,True,
KRAS,exclude_prior_train_development_P_and_homomers,all_U,3,450,True,
KRAS,exclude_any_model_prior_pairs,context,3,150,True,
KRAS,exclude_any_model_prior_pairs,background,3,150,True,
KRAS,exclude_any_model_prior_pairs,low_plausibility,3,150,True,
KRAS,exclude_any_model_prior_pairs,context_background,3,300,True,
KRAS,exclude_any_model_prior_pairs,all_U,3,450,True,
KRAS,exclude_any_model_prior_pairs_and_homomers,context,3,150,True,
KRAS,exclude_any_model_prior_pairs_and_homomers,background,3,150,True,
KRAS,exclude_any_model_prior_pairs_and_homomers,low_plausibility,3,150,True,
KRAS,exclude_any_model_prior_pairs_and_homomers,context_background,3,300,True,
KRAS,exclude_any_model_prior_pairs_and_homomers,all_U,3,450,True,
CDK2,all_P,context,3,150,True,
CDK2,all_P,background,3,150,True,
CDK2,all_P,low_plausibility,3,150,True,
CDK2,all_P,context_background,3,300,True,
CDK2,all_P,all_U,3,450,True,
CDK2,exclude_development_P,context,3,150,True,
CDK2,exclude_development_P,background,3,150,True,
CDK2,exclude_development_P,low_plausibility,3,150,True,
CDK2,exclude_development_P,context_background,3,300,True,
CDK2,exclude_development_P,all_U,3,450,True,
CDK2,exclude_development_P_and_homomers,context,3,150,True,
CDK2,exclude_development_P_and_homomers,background,3,150,True,
CDK2,exclude_development_P_and_homomers,low_plausibility,3,150,True,
CDK2,exclude_development_P_and_homomers,context_background,3,300,True,
CDK2,exclude_development_P_and_homomers,all_U,3,450,True,
CDK2,exclude_prior_train_development_P,context,3,150,True,
CDK2,exclude_prior_train_development_P,background,3,150,True,
CDK2,exclude_prior_train_development_P,low_plausibility,3,150,True,
CDK2,exclude_prior_train_development_P,context_background,3,300,True,
CDK2,exclude_prior_train_development_P,all_U,3,450,True,
CDK2,exclude_prior_train_development_P_and_homomers,context,3,150,True,
CDK2,exclude_prior_train_development_P_and_homomers,background,3,150,True,
CDK2,exclude_prior_train_development_P_and_homomers,low_plausibility,3,150,True,
CDK2,exclude_prior_train_development_P_and_homomers,context_background,3,300,True,
CDK2,exclude_prior_train_development_P_and_homomers,all_U,3,450,True,
CDK2,exclude_any_model_prior_pairs,context,3,150,True,
CDK2,exclude_any_model_prior_pairs,background,3,150,True,
CDK2,exclude_any_model_prior_pairs,low_plausibility,3,150,True,
CDK2,exclude_any_model_prior_pairs,context_background,3,300,True,
CDK2,exclude_any_model_prior_pairs,all_U,3,450,True,
CDK2,exclude_any_model_prior_pairs_and_homomers,context,3,150,True,
CDK2,exclude_any_model_prior_pairs_and_homomers,background,3,150,True,
CDK2,exclude_any_model_prior_pairs_and_homomers,low_plausibility,3,150,True,
CDK2,exclude_any_model_prior_pairs_and_homomers,context_background,3,300,True,
CDK2,exclude_any_model_prior_pairs_and_homomers,all_U,3,450,True,
HIF1A,all_P,context,3,150,True,
HIF1A,all_P,background,3,150,True,
HIF1A,all_P,low_plausibility,3,150,True,
HIF1A,all_P,context_background,3,300,True,
HIF1A,all_P,all_U,3,450,True,
HIF1A,exclude_development_P,context,3,150,True,
HIF1A,exclude_development_P,background,3,150,True,
HIF1A,exclude_development_P,low_plausibility,3,150,True,
HIF1A,exclude_development_P,context_background,3,300,True,
HIF1A,exclude_development_P,all_U,3,450,True,
HIF1A,exclude_development_P_and_homomers,context,3,150,True,
HIF1A,exclude_development_P_and_homomers,background,3,150,True,
HIF1A,exclude_development_P_and_homomers,low_plausibility,3,150,True,
HIF1A,exclude_development_P_and_homomers,context_background,3,300,True,
HIF1A,exclude_development_P_and_homomers,all_U,3,450,True,
HIF1A,exclude_prior_train_development_P,context,3,150,True,
HIF1A,exclude_prior_train_development_P,background,3,150,True,
HIF1A,exclude_prior_train_development_P,low_plausibility,3,150,True,
HIF1A,exclude_prior_train_development_P,context_background,3,300,True,
HIF1A,exclude_prior_train_development_P,all_U,3,450,True,
HIF1A,exclude_prior_train_development_P_and_homomers,context,3,150,True,
HIF1A,exclude_prior_train_development_P_and_homomers,background,3,150,True,
HIF1A,exclude_prior_train_development_P_and_homomers,low_plausibility,3,150,True,
HIF1A,exclude_prior_train_development_P_and_homomers,context_background,3,300,True,
HIF1A,exclude_prior_train_development_P_and_homomers,all_U,3,450,True,
HIF1A,exclude_any_model_prior_pairs,context,3,150,True,
HIF1A,exclude_any_model_prior_pairs,background,3,150,True,
HIF1A,exclude_any_model_prior_pairs,low_plausibility,3,150,True,
HIF1A,exclude_any_model_prior_pairs,context_background,3,300,True,
HIF1A,exclude_any_model_prior_pairs,all_U,3,450,True,
HIF1A,exclude_any_model_prior_pairs_and_homomers,context,3,150,True,
HIF1A,exclude_any_model_prior_pairs_and_homomers,background,3,150,True,
HIF1A,exclude_any_model_prior_pairs_and_homomers,low_plausibility,3,150,True,
HIF1A,exclude_any_model_prior_pairs_and_homomers,context_background,3,300,True,
HIF1A,exclude_any_model_prior_pairs_and_homomers,all_U,3,450,True,
CTNNB1,all_P,context,3,150,True,
CTNNB1,all_P,background,3,150,True,
CTNNB1,all_P,low_plausibility,3,150,True,
CTNNB1,all_P,context_background,3,300,True,
CTNNB1,all_P,all_U,3,450,True,
CTNNB1,exclude_development_P,context,3,150,True,
CTNNB1,exclude_development_P,background,3,150,True,
CTNNB1,exclude_development_P,low_plausibility,3,150,True,
CTNNB1,exclude_development_P,context_background,3,300,True,
CTNNB1,exclude_development_P,all_U,3,450,True,
CTNNB1,exclude_development_P_and_homomers,context,3,150,True,
CTNNB1,exclude_development_P_and_homomers,background,3,150,True,
CTNNB1,exclude_development_P_and_homomers,low_plausibility,3,150,True,
CTNNB1,exclude_development_P_and_homomers,context_background,3,300,True,
CTNNB1,exclude_development_P_and_homomers,all_U,3,450,True,
CTNNB1,exclude_prior_train_development_P,context,3,150,True,
CTNNB1,exclude_prior_train_development_P,background,3,150,True,
CTNNB1,exclude_prior_train_development_P,low_plausibility,3,150,True,
CTNNB1,exclude_prior_train_development_P,context_background,3,300,True,
CTNNB1,exclude_prior_train_development_P,all_U,3,450,True,
CTNNB1,exclude_prior_train_development_P_and_homomers,context,3,150,True,
CTNNB1,exclude_prior_train_development_P_and_homomers,background,3,150,True,
CTNNB1,exclude_prior_train_development_P_and_homomers,low_plausibility,3,150,True,
CTNNB1,exclude_prior_train_development_P_and_homomers,context_background,3,300,True,
CTNNB1,exclude_prior_train_development_P_and_homomers,all_U,3,450,True,
CTNNB1,exclude_any_model_prior_pairs,context,2,144,True,
CTNNB1,exclude_any_model_prior_pairs,background,2,145,True,
CTNNB1,exclude_any_model_prior_pairs,low_plausibility,2,150,True,
CTNNB1,exclude_any_model_prior_pairs,context_background,2,289,True,
CTNNB1,exclude_any_model_prior_pairs,all_U,2,439,True,
CTNNB1,exclude_any_model_prior_pairs_and_homomers,context,2,144,True,
CTNNB1,exclude_any_model_prior_pairs_and_homomers,background,2,145,True,
CTNNB1,exclude_any_model_prior_pairs_and_homomers,low_plausibility,2,150,True,
CTNNB1,exclude_any_model_prior_pairs_and_homomers,context_background,2,289,True,
CTNNB1,exclude_any_model_prior_pairs_and_homomers,all_U,2,439,True,
TNFRSF1A,all_P,context,3,150,True,
TNFRSF1A,all_P,background,3,150,True,
TNFRSF1A,all_P,low_plausibility,3,150,True,
TNFRSF1A,all_P,context_background,3,300,True,
TNFRSF1A,all_P,all_U,3,450,True,
TNFRSF1A,exclude_development_P,context,3,150,True,
TNFRSF1A,exclude_development_P,background,3,150,True,
TNFRSF1A,exclude_development_P,low_plausibility,3,150,True,
TNFRSF1A,exclude_development_P,context_background,3,300,True,
TNFRSF1A,exclude_development_P,all_U,3,450,True,
TNFRSF1A,exclude_development_P_and_homomers,context,3,150,True,
TNFRSF1A,exclude_development_P_and_homomers,background,3,150,True,
TNFRSF1A,exclude_development_P_and_homomers,low_plausibility,3,150,True,
TNFRSF1A,exclude_development_P_and_homomers,context_background,3,300,True,
TNFRSF1A,exclude_development_P_and_homomers,all_U,3,450,True,
TNFRSF1A,exclude_prior_train_development_P,context,3,150,True,
TNFRSF1A,exclude_prior_train_development_P,background,3,150,True,
TNFRSF1A,exclude_prior_train_development_P,low_plausibility,3,150,True,
TNFRSF1A,exclude_prior_train_development_P,context_background,3,300,True,
TNFRSF1A,exclude_prior_train_development_P,all_U,3,450,True,
TNFRSF1A,exclude_prior_train_development_P_and_homomers,context,3,150,True,
TNFRSF1A,exclude_prior_train_development_P_and_homomers,background,3,150,True,
TNFRSF1A,exclude_prior_train_development_P_and_homomers,low_plausibility,3,150,True,
TNFRSF1A,exclude_prior_train_development_P_and_homomers,context_background,3,300,True,
TNFRSF1A,exclude_prior_train_development_P_and_homomers,all_U,3,450,True,
TNFRSF1A,exclude_any_model_prior_pairs,context,3,149,True,
TNFRSF1A,exclude_any_model_prior_pairs,background,3,147,True,
TNFRSF1A,exclude_any_model_prior_pairs,low_plausibility,3,150,True,
TNFRSF1A,exclude_any_model_prior_pairs,context_background,3,296,True,
TNFRSF1A,exclude_any_model_prior_pairs,all_U,3,446,True,
TNFRSF1A,exclude_any_model_prior_pairs_and_homomers,context,3,149,True,
TNFRSF1A,exclude_any_model_prior_pairs_and_homomers,background,3,147,True,
TNFRSF1A,exclude_any_model_prior_pairs_and_homomers,low_plausibility,3,150,True,
TNFRSF1A,exclude_any_model_prior_pairs_and_homomers,context_background,3,296,True,
TNFRSF1A,exclude_any_model_prior_pairs_and_homomers,all_U,3,446,True,
BECN1,all_P,context,3,150,True,
BECN1,all_P,background,3,150,True,
BECN1,all_P,low_plausibility,3,150,True,
BECN1,all_P,context_background,3,300,True,
BECN1,all_P,all_U,3,450,True,
BECN1,exclude_development_P,context,3,150,True,
BECN1,exclude_development_P,background,3,150,True,
BECN1,exclude_development_P,low_plausibility,3,150,True,
BECN1,exclude_development_P,context_background,3,300,True,
BECN1,exclude_development_P,all_U,3,450,True,
BECN1,exclude_development_P_and_homomers,context,3,150,True,
BECN1,exclude_development_P_and_homomers,background,3,150,True,
BECN1,exclude_development_P_and_homomers,low_plausibility,3,150,True,
BECN1,exclude_development_P_and_homomers,context_background,3,300,True,
BECN1,exclude_development_P_and_homomers,all_U,3,450,True,
BECN1,exclude_prior_train_development_P,context,1,150,True,
BECN1,exclude_prior_train_development_P,background,1,150,True,
BECN1,exclude_prior_train_development_P,low_plausibility,1,150,True,
BECN1,exclude_prior_train_development_P,context_background,1,300,True,
BECN1,exclude_prior_train_development_P,all_U,1,450,True,
BECN1,exclude_prior_train_development_P_and_homomers,context,1,150,True,
BECN1,exclude_prior_train_development_P_and_homomers,background,1,150,True,
BECN1,exclude_prior_train_development_P_and_homomers,low_plausibility,1,150,True,
BECN1,exclude_prior_train_development_P_and_homomers,context_background,1,300,True,
BECN1,exclude_prior_train_development_P_and_homomers,all_U,1,450,True,
BECN1,exclude_any_model_prior_pairs,context,1,146,True,
BECN1,exclude_any_model_prior_pairs,background,1,150,True,
BECN1,exclude_any_model_prior_pairs,low_plausibility,1,150,True,
BECN1,exclude_any_model_prior_pairs,context_background,1,296,True,
BECN1,exclude_any_model_prior_pairs,all_U,1,446,True,
BECN1,exclude_any_model_prior_pairs_and_homomers,context,1,146,True,
BECN1,exclude_any_model_prior_pairs_and_homomers,background,1,150,True,
BECN1,exclude_any_model_prior_pairs_and_homomers,low_plausibility,1,150,True,
BECN1,exclude_any_model_prior_pairs_and_homomers,context_background,1,296,True,
BECN1,exclude_any_model_prior_pairs_and_homomers,all_U,1,446,True,
